run_number,model_name,metric,class,value
5,Base mBERT,f1-score,positive,0.6617
5,Fine-tuned mBERT,f1-score,positive,0.7722
5,Base distil-mBERT,f1-score,macro avg,0.7657
5,Fine-tuned distil-mBERT,f1-score,macro avg,0.7787
5,Base RuBERT,f1-score,macro avg,0.6669
5,Fine-tuned RuBERT,f1-score,macro avg,0.794
5,Base mBERT,f1-score,macro avg,0.7469
5,Fine-tuned mBERT,f1-score,macro avg,0.8075
5,Base distil-mBERT,f1-score,weighted avg,0.8088
5,Fine-tuned distil-mBERT,f1-score,weighted avg,0.8165
5,Base RuBERT,f1-score,weighted avg,0.7318
5,Fine-tuned RuBERT,f1-score,weighted avg,0.8269
5,Base mBERT,f1-score,weighted avg,0.791
5,Fine-tuned mBERT,f1-score,weighted avg,0.8421
5,Base distil-mBERT,accuracy,,0.8042
5,Fine-tuned distil-mBERT,accuracy,,0.8124
5,Base RuBERT,accuracy,,0.7259
5,Fine-tuned RuBERT,accuracy,,0.8233
5,Base mBERT,accuracy,,0.7869
5,Fine-tuned mBERT,accuracy,,0.8379
6,Base distil-mBERT,precision,negative,0.6562
6,Fine-tuned distil-mBERT,precision,negative,0.6984
6,Base RuBERT,precision,negative,0.5556
6,Fine-tuned RuBERT,precision,negative,0.6706
6,Base mBERT,precision,negative,0.6122
6,Fine-tuned mBERT,precision,negative,0.614
6,Base distil-mBERT,precision,neutral,0.91
6,Fine-tuned distil-mBERT,precision,neutral,0.9082
6,Base RuBERT,precision,neutral,0.886
6,Fine-tuned RuBERT,precision,neutral,0.9078
6,Base mBERT,precision,neutral,0.9187
6,Fine-tuned mBERT,precision,neutral,0.9055
6,Base distil-mBERT,precision,positive,0.8103
6,Fine-tuned distil-mBERT,precision,positive,0.814
6,Base RuBERT,precision,positive,0.6318
6,Fine-tuned RuBERT,precision,positive,0.7599
6,Base mBERT,precision,positive,0.7063
6,Fine-tuned mBERT,precision,positive,0.7623
6,Base distil-mBERT,precision,macro avg,0.7922
6,Fine-tuned distil-mBERT,precision,macro avg,0.8068
6,Base RuBERT,precision,macro avg,0.6911
6,Fine-tuned RuBERT,precision,macro avg,0.7794
6,Base mBERT,precision,macro avg,0.7457
6,Fine-tuned mBERT,precision,macro avg,0.7606
6,Base distil-mBERT,precision,weighted avg,0.8377
6,Fine-tuned distil-mBERT,precision,weighted avg,0.8453
6,Base RuBERT,precision,weighted avg,0.7589
6,Fine-tuned RuBERT,precision,weighted avg,0.8257
6,Base mBERT,precision,weighted avg,0.8071
6,Fine-tuned mBERT,precision,weighted avg,0.8148
6,Base distil-mBERT,recall,negative,0.8442
6,Fine-tuned distil-mBERT,recall,negative,0.8844
6,Base RuBERT,recall,negative,0.7538
6,Fine-tuned RuBERT,recall,negative,0.8593
6,Base mBERT,recall,negative,0.809
6,Fine-tuned mBERT,recall,negative,0.8392
6,Base distil-mBERT,recall,neutral,0.8801
6,Fine-tuned distil-mBERT,recall,neutral,0.8768
6,Base RuBERT,recall,neutral,0.8292
6,Fine-tuned RuBERT,recall,neutral,0.8407
6,Base mBERT,recall,neutral,0.8539
6,Fine-tuned mBERT,recall,neutral,0.8654
6,Base distil-mBERT,recall,positive,0.7069
6,Fine-tuned distil-mBERT,recall,positive,0.7241
6,Base RuBERT,recall,positive,0.5621
6,Fine-tuned RuBERT,recall,positive,0.731
6,Base mBERT,recall,positive,0.6552
6,Fine-tuned mBERT,recall,positive,0.6414
6,Base distil-mBERT,recall,macro avg,0.8104
6,Fine-tuned distil-mBERT,recall,macro avg,0.8285
6,Base RuBERT,recall,macro avg,0.715
6,Fine-tuned RuBERT,recall,macro avg,0.8104
6,Base mBERT,recall,macro avg,0.7727
6,Fine-tuned mBERT,recall,macro avg,0.782
6,Base distil-mBERT,recall,weighted avg,0.8279
6,Fine-tuned distil-mBERT,recall,weighted avg,0.8379
6,Base RuBERT,recall,weighted avg,0.745
6,Fine-tuned RuBERT,recall,weighted avg,0.8151
6,Base mBERT,recall,weighted avg,0.7933
6,Fine-tuned mBERT,recall,weighted avg,0.8015
6,Base distil-mBERT,f1-score,negative,0.7385
6,Fine-tuned distil-mBERT,f1-score,negative,0.7805
6,Base RuBERT,f1-score,negative,0.6397
6,Fine-tuned RuBERT,f1-score,negative,0.7533
6,Base mBERT,f1-score,negative,0.697
6,Fine-tuned mBERT,f1-score,negative,0.7091
6,Base distil-mBERT,f1-score,neutral,0.8948
